date,year,month,day,week_number,description,value,tag
2025-04-01 08:16:04 PM,2025,4,1,14,Sueño,7,Health
2025-04-01 08:16:04 PM,2025,4,1,14,Humor,5,Health
2025-04-01 08:16:04 PM,2025,4,1,14,Estres,3,Health
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_01,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_02,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_03,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_04,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_05,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_06,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,positive_habit_07,1,PositiveHabits
2025-04-01 08:16:04 PM,2025,4,1,14,negative_habit_01,0,NegativeHabits
2025-04-01 08:16:04 PM,2025,4,1,14,negative_habit_02,0,NegativeHabits
2025-04-01 08:16:04 PM,2025,4,1,14,negative_habit_03,1,NegativeHabits
2025-04-01 08:16:04 PM,2025,4,1,14,negative_habit_04,0,NegativeHabits
2025-04-01 08:16:04 PM,2025,4,1,14,Saludo al Sol,0,ConvictConditioning
2025-04-01 08:16:04 PM,2025,4,1,14,Full Pullups,0,ConvictConditioning
2025-04-01 08:16:04 PM,2025,4,1,14,Unevein Squats,0,ConvictConditioning
2025-04-01 08:16:04 PM,2025,4,1,14,Close Pushups,0,ConvictConditioning
2025-04-01 08:16:04 PM,2025,4,1,14,Straigt Leg Raises,0,ConvictConditioning
2025-04-01 08:16:04 PM,2025,4,1,14,Handstand Pushups,0,ConvictConditioning
2025-04-01 08:16:04 PM,2025,4,1,14,Straignt Bridges,0,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Sueño,8,Health
2025-04-02 10:44:49 PM,2025,4,2,14,Humor,6,Health
2025-04-02 10:44:49 PM,2025,4,2,14,Estres,1,Health
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_01,1,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_02,1,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_03,1,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_04,1,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_05,0,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_06,1,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,positive_habit_07,1,PositiveHabits
2025-04-02 10:44:49 PM,2025,4,2,14,negative_habit_01,0,NegativeHabits
2025-04-02 10:44:49 PM,2025,4,2,14,negative_habit_02,0,NegativeHabits
2025-04-02 10:44:49 PM,2025,4,2,14,negative_habit_03,0,NegativeHabits
2025-04-02 10:44:49 PM,2025,4,2,14,negative_habit_04,0,NegativeHabits
2025-04-02 10:44:49 PM,2025,4,2,14,Saludo al Sol,5,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Full Pullups,0,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Unevein Squats,0,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Close Pushups,22,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Straigt Leg Raises,55,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Handstand Pushups,0,ConvictConditioning
2025-04-02 10:44:49 PM,2025,4,2,14,Straignt Bridges,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Sueño,9,Health
2025-04-03 10:15:50 PM,2025,4,3,14,Humor,6,Health
2025-04-03 10:15:50 PM,2025,4,3,14,Estres,4,Health
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_01,0,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_02,0,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_03,1,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_04,1,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_05,0,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_06,1,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,positive_habit_07,1,PositiveHabits
2025-04-03 10:15:50 PM,2025,4,3,14,negative_habit_01,0,NegativeHabits
2025-04-03 10:15:50 PM,2025,4,3,14,negative_habit_02,0,NegativeHabits
2025-04-03 10:15:50 PM,2025,4,3,14,negative_habit_03,0,NegativeHabits
2025-04-03 10:15:50 PM,2025,4,3,14,negative_habit_04,0,NegativeHabits
2025-04-03 10:15:50 PM,2025,4,3,14,Saludo al Sol,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Full Pullups,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Unevein Squats,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Close Pushups,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Straigt Leg Raises,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Handstand Pushups,0,ConvictConditioning
2025-04-03 10:15:50 PM,2025,4,3,14,Straignt Bridges,0,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Sueño,8,Health
2025-04-04 10:28:56 PM,2025,4,4,14,Humor,7,Health
2025-04-04 10:28:56 PM,2025,4,4,14,Estres,1,Health
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_01,0,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_02,1,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_03,1,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_04,1,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_05,1,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_06,1,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,positive_habit_07,1,PositiveHabits
2025-04-04 10:28:56 PM,2025,4,4,14,negative_habit_01,0,NegativeHabits
2025-04-04 10:28:56 PM,2025,4,4,14,negative_habit_02,0,NegativeHabits
2025-04-04 10:28:56 PM,2025,4,4,14,negative_habit_03,0,NegativeHabits
2025-04-04 10:28:56 PM,2025,4,4,14,negative_habit_04,0,NegativeHabits
2025-04-04 10:28:56 PM,2025,4,4,14,Saludo al Sol,5,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Full Pullups,0,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Unevein Squats,0,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Close Pushups,0,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Straigt Leg Raises,0,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Handstand Pushups,27,ConvictConditioning
2025-04-04 10:28:56 PM,2025,4,4,14,Straignt Bridges,60,ConvictConditioning
2025-04-05 08:15:20 PM,2025,4,5,14,Sueño,8,Health
2025-04-05 08:15:20 PM,2025,4,5,14,Humor,6,Health
2025-04-05 08:15:20 PM,2025,4,5,14,Estres,1,Health
2025-04-05 08:15:20 PM,2025,4,5,14,positive_habit_01,1,PositiveHabits
2025-04-05 08:15:20 PM,2025,4,5,14,positive_habit_02,1,PositiveHabits
2025-04-05 08:15:20 PM,2025,4,5,14,positive_habit_03,1,PositiveHabits
2025-04-05 08:15:20 PM,2025,4,5,14,positive_habit_04,1,PositiveHabits
